09.20.26	警告	设备1 文件打开失败!路径:C:\Users\Lemon\Desktop\灯带mesh\BK3431Q_Mesh_DesignKit_V10_1011_0822\SDK\projects\ble_app_mesh_sdk_morenode\output\app\bk3435_ble_app_merge_crc.bin!
09.20.46	正常	设备1 CRC = 0xdec1c381
09.21.11	正常	设备1 程序下载成功 
09.21.28	正常	设备1 CRC = 0xdec1c381
09.21.52	正常	设备1 程序下载成功 
09.24.04	正常	设备1 读出成功!!
09.24.05	正常	设备1 CRC = 0xdec1c381
09.24.30	正常	设备1 程序下载成功 
09.26.13	正常	设备1 CRC = 0xdec1c381
09.26.38	正常	设备1 程序下载成功 
09.27.41	正常	设备1 CRC = 0xdec1c381
09.28.07	正常	设备1 程序下载成功 
09.29.35	正常	设备1 CRC = 0xdec1c381
09.30.00	正常	设备1 程序下载成功 
09.35.04	正常	设备1 CRC = 0xdec1c381
09.35.29	正常	设备1 程序下载成功 
10.29.25	正常	设备1 CRC = 0x806397cf
10.29.50	正常	设备1 程序下载成功 
10.30.00	正常	设备1 CRC = 0x806397cf
10.30.26	正常	设备1 程序下载成功 
10.31.27	正常	设备1 CRC = 0x64404cf9
10.31.52	正常	设备1 程序下载成功 
10.36.06	正常	设备1 CRC = 0x938cc0df
10.36.31	正常	设备1 程序下载成功 
10.36.45	正常	设备1 CRC = 0x938cc0df
10.37.10	正常	设备1 程序下载成功 
11.05.24	正常	设备1 CRC = 0xe1df511c
11.05.49	正常	设备1 程序下载成功 
11.05.58	正常	设备1 CRC = 0xe1df511c
11.06.22	正常	设备1 程序下载成功 
11.19.05	正常	设备1 CRC = 0x82141c81
11.19.28	正常	设备1 程序下载成功 
11.19.36	正常	设备1 CRC = 0x82141c81
11.19.59	正常	设备1 程序下载成功 
11.42.06	正常	设备1 CRC = 0x47bdb011
11.42.29	正常	设备1 程序下载成功 
11.47.34	正常	设备1 CRC = 0x08bdb81f
11.47.57	正常	设备1 程序下载成功 
11.51.43	正常	设备1 CRC = 0x08bdb81f
11.52.06	正常	设备1 程序下载成功 
14.17.13	正常	设备1 CRC = 0x08bdb81f
14.17.36	正常	设备1 程序下载成功 
14.20.23	正常	设备1 CRC = 0x52463e0d
14.20.47	正常	设备1 程序下载成功 
14.48.08	正常	设备1 CRC = 0xc78ae6a8
14.48.32	正常	设备1 程序下载成功 
15.04.51	正常	设备1 CRC = 0x393c8e94
15.05.14	正常	设备1 程序下载成功 
15.05.22	正常	设备1 CRC = 0x393c8e94
15.05.45	正常	设备1 程序下载成功 
15.14.51	正常	设备1 CRC = 0x327e42b5
15.15.14	正常	设备1 程序下载成功 
15.15.42	正常	设备1 CRC = 0x327e42b5
15.16.05	正常	设备1 程序下载成功 
15.29.10	正常	设备1 CRC = 0xa056725d
15.29.33	正常	设备1 程序下载成功 
15.39.52	正常	设备1 CRC = 0x6b455580
15.40.15	正常	设备1 程序下载成功 
15.43.28	正常	设备1 CRC = 0x6b455580
15.43.51	正常	设备1 程序下载成功 
15.44.12	正常	设备1 CRC = 0xb046aa63
15.44.35	正常	设备1 程序下载成功 
15.50.13	正常	设备1 CRC = 0x7ddf6b98
15.50.37	正常	设备1 程序下载成功 
16.11.52	正常	设备1 CRC = 0x06b153d8
16.12.15	正常	设备1 程序下载成功 
16.47.48	正常	设备1 CRC = 0xc205ea2e
16.48.12	正常	设备1 程序下载成功 
16.51.09	正常	设备1 CRC = 0x850a134a
16.51.32	正常	设备1 程序下载成功 
16.51.44	正常	设备1 CRC = 0x850a134a
16.52.08	正常	设备1 程序下载成功 
17.09.01	正常	设备1 CRC = 0x850a134a
17.09.25	正常	设备1 程序下载成功 
17.10.00	正常	设备1 CRC = 0x5505608f
17.10.24	正常	设备1 程序下载成功 
17.11.10	正常	设备1 CRC = 0x5505608f
17.11.33	正常	设备1 程序下载成功 
17.13.01	正常	设备1 CRC = 0x5505608f
17.13.24	正常	设备1 程序下载成功 
17.22.00	正常	设备1 CRC = 0x884c21a3
17.22.23	正常	设备1 程序下载成功 
17.23.46	正常	设备1 CRC = 0x884c21a3
17.24.09	正常	设备1 程序下载成功 
17.34.55	正常	设备1 CRC = 0x294caf43
17.35.18	正常	设备1 程序下载成功 
17.48.51	正常	设备1 CRC = 0x6c8278d8
17.49.14	正常	设备1 程序下载成功 
17.56.39	正常	设备1 CRC = 0x326640e0
17.57.02	正常	设备1 程序下载成功 
18.00.34	正常	设备1 CRC = 0x326640e0
18.00.57	正常	设备1 程序下载成功 
18.01.18	正常	设备1 CRC = 0x9a83d056
18.01.41	正常	设备1 程序下载成功 
18.46.42	正常	设备1 CRC = 0xf29a2b4c
18.47.06	正常	设备1 程序下载成功 
18.54.23	正常	设备1 CRC = 0x4917c904
18.54.46	正常	设备1 程序下载成功 
18.58.45	正常	设备1 CRC = 0x4917c904
18.59.08	正常	设备1 程序下载成功 
19.12.48	正常	设备1 CRC = 0x4a94f878
19.13.12	正常	设备1 程序下载成功 
19.17.07	正常	设备1 CRC = 0x264e1486
19.17.30	正常	设备1 程序下载成功 
