11.51.11	错误	设备1 创建读出文件失败!
11.51.19	正常	设备1 读出成功!!
15.14.11	正常	设备1 CRC = 0x28619bef
15.14.27	正常	设备1 程序下载成功 
15.17.17	正常	设备1 CRC = 0xd38a6093
15.17.32	正常	设备1 程序下载成功 
15.23.08	正常	设备1 CRC = 0x4c565dbb
15.23.30	正常	设备1 程序下载成功 
15.27.15	正常	设备1 CRC = 0x4c565dbb
15.27.36	正常	设备1 程序下载成功 
15.28.34	正常	设备1 CRC = 0x4c565dbb
15.28.55	正常	设备1 程序下载成功 
15.29.26	正常	设备1 CRC = 0x4c565dbb
15.29.47	正常	设备1 程序下载成功 
15.33.40	正常	设备1 CRC = 0x4c565dbb
15.34.01	正常	设备1 程序下载成功 
16.16.42	正常	设备1 CRC = 0x1171231a
16.17.05	正常	设备1 程序下载成功 
16.20.10	正常	设备1 CRC = 0x1171231a
16.20.34	正常	设备1 程序下载成功 
16.29.22	正常	设备1 CRC = 0xe2f43a4c
16.29.44	正常	设备1 程序下载成功 
16.43.57	正常	设备1 CRC = 0x56271767
16.44.18	正常	设备1 程序下载成功 
