09.12.03	警告	设备1 文件打开失败!路径:C:\Users\Lemon\Desktop\蓝牙mesh\BK3431Q_Mesh_DesignKit_V02_1411\projects\ble_app_mesh_sdk_morenode\output\app\bk3435_ble_app_merge_crc.bin!
09.12.19	正常	设备1 CRC = 0x17b3c110
09.12.50	正常	设备1 读出成功!!
09.12.51	正常	设备1 程序下载成功 
11.24.35	正常	设备1 CRC = 0xeac0b0d9
11.25.06	正常	设备1 读出成功!!
11.25.07	正常	设备1 程序下载成功 
11.29.32	正常	设备1 CRC = 0x1afd34cb
11.30.03	正常	设备1 读出成功!!
11.30.04	正常	设备1 程序下载成功 
11.36.42	正常	设备1 CRC = 0x7db3f4a0
11.37.13	正常	设备1 读出成功!!
11.37.14	正常	设备1 程序下载成功 
11.50.34	正常	设备1 CRC = 0xb70b61d7
11.51.05	正常	设备1 读出成功!!
11.51.06	正常	设备1 程序下载成功 
13.37.10	正常	设备1 CRC = 0x6dd80cd1
13.37.41	正常	设备1 读出成功!!
13.37.42	正常	设备1 程序下载成功 
13.38.47	正常	设备1 CRC = 0x732fe89c
13.39.19	正常	设备1 读出成功!!
13.39.20	正常	设备1 程序下载成功 
13.56.08	正常	设备1 CRC = 0xd37d6028
13.56.39	正常	设备1 读出成功!!
13.56.40	正常	设备1 程序下载成功 
14.26.18	正常	设备1 CRC = 0x9bfc7a6e
14.26.49	正常	设备1 读出成功!!
14.26.50	正常	设备1 程序下载成功 
