行号,工具名称,工具版本,烧录时间,烧录Mac,烧录结果,串口号,烧录口,烧录状态,底板ID,芯片型号,固件项目信息,固件版本,固件大小,固件CRC,授权文件大小,授权文件CRC,mac烧录地址,license或滚码,license烧录地址,license总个数,license剩余个数,滚码起始值,滚码总个数,滚码剩余个数
1,集贤新烧录器,v1.2.4,20220721 14:18:29,mac:3873EAE83EA4,PASS,COM28,1,烧录成功,304D333737192E05,BK3432,bk3432_ble_app_m,merge,117520,2982078976,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
2,集贤新烧录器,v1.2.4,20220721 14:18:29,mac:3873EAE83EA5,FAIL,COM28,2,没检测到芯片,304D333737192E05,BK3432,bk3432_ble_app_m,merge,117520,2982078976,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
3,集贤新烧录器,v1.2.4,20220721 14:18:29,mac:3873EAE83EA6,FAIL,COM28,3,没检测到芯片,304D333737192E05,BK3432,bk3432_ble_app_m,merge,117520,2982078976,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
4,集贤新烧录器,v1.2.4,20220721 14:18:29,mac:3873EAE83EA7,FAIL,COM28,4,没检测到芯片,304D333737192E05,BK3432,bk3432_ble_app_m,merge,117520,2982078976,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
5,集贤新烧录器,v1.2.4,20220721 14:18:29,mac:3873EAE83EA8,FAIL,COM28,5,没检测到芯片,304D333737192E05,BK3432,bk3432_ble_app_m,merge,117520,2982078976,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
6,集贤新烧录器,v1.2.4,20220721 14:23:21,mac:3873EAE83EA4,PASS,COM28,1,烧录成功,304D333737192E05,BK3432,bk3432_ble_app_m,merge,117520,1161568464,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
7,集贤新烧录器,v1.2.4,20220721 14:23:21,mac:3873EAE83EA5,FAIL,COM28,2,没检测到芯片,304D333737192E05,BK3432,bk3432_ble_app_m,merge,117520,1161568464,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
8,集贤新烧录器,v1.2.4,20220721 14:23:21,mac:3873EAE83EA6,FAIL,COM28,3,没检测到芯片,304D333737192E05,BK3432,bk3432_ble_app_m,merge,117520,1161568464,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
9,集贤新烧录器,v1.2.4,20220721 14:23:21,mac:3873EAE83EA7,FAIL,COM28,4,没检测到芯片,304D333737192E05,BK3432,bk3432_ble_app_m,merge,117520,1161568464,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
10,集贤新烧录器,v1.2.4,20220721 14:23:21,mac:3873EAE83EA8,FAIL,COM28,5,没检测到芯片,304D333737192E05,BK3432,bk3432_ble_app_m,merge,117520,1161568464,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
