行号,工具名称,工具版本,烧录时间,烧录Mac,烧录结果,串口号,烧录口,烧录状态,底板ID,芯片型号,固件项目信息,固件版本,固件大小,固件CRC,授权文件大小,授权文件CRC,mac烧录地址,license或滚码,license烧录地址,license总个数,license剩余个数,滚码起始值,滚码总个数,滚码剩余个数
1,集贤新烧录器,v1.2.4,20230105 16:47:43,mac:3873EAE83EA4,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
2,集贤新烧录器,v1.2.4,20230105 16:47:43,mac:3873EAE83EA5,FAIL,COM10,2,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
3,集贤新烧录器,v1.2.4,20230105 16:47:43,mac:3873EAE83EA6,FAIL,COM10,3,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
4,集贤新烧录器,v1.2.4,20230105 16:47:43,mac:3873EAE83EA7,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
5,集贤新烧录器,v1.2.4,20230105 16:47:43,mac:3873EAE83EA8,FAIL,COM10,5,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999998
6,集贤新烧录器,v1.2.4,20230105 16:48:09,mac:3873EAE83EA5,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999997
7,集贤新烧录器,v1.2.4,20230105 16:48:09,mac:3873EAE83EA6,FAIL,COM10,2,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999997
8,集贤新烧录器,v1.2.4,20230105 16:48:09,mac:3873EAE83EA7,FAIL,COM10,3,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999997
9,集贤新烧录器,v1.2.4,20230105 16:48:09,mac:3873EAE83EA8,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999997
10,集贤新烧录器,v1.2.4,20230105 16:48:09,mac:3873EAE83EA9,FAIL,COM10,5,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999997
11,集贤新烧录器,v1.2.4,20230105 16:48:32,mac:3873EAE83EA6,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999996
12,集贤新烧录器,v1.2.4,20230105 16:48:32,mac:3873EAE83EA7,FAIL,COM10,2,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999996
13,集贤新烧录器,v1.2.4,20230105 16:48:32,mac:3873EAE83EA8,FAIL,COM10,3,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999996
14,集贤新烧录器,v1.2.4,20230105 16:48:32,mac:3873EAE83EA9,FAIL,COM10,4,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999996
15,集贤新烧录器,v1.2.4,20230105 16:48:32,mac:3873EAE83EAA,FAIL,COM10,5,没检测到芯片,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999996
16,集贤新烧录器,v1.2.4,20230105 16:49:01,mac:3873EAE83EA7,PASS,COM10,1,烧录成功,304D333737086651,BK3432,uae050-ynt-c0-1.,,146192,4131570368,0,,0x27ff0,滚码烧录,,,,3873EAE83EA4,9999999,9999995
