行号,工具名称,工具版本,烧录时间,烧录Mac,烧录结果,串口号,烧录口,烧录状态,底板ID,芯片型号,固件项目信息,固件版本,固件大小,固件CRC,授权文件大小,授权文件CRC,mac烧录地址,license或滚码,license烧录地址,license总个数,license剩余个数,滚码起始值,滚码总个数,滚码剩余个数
1,集贤新烧录器,v1.2.4,20230512 15:47:33,mac:2373EAE83EA4,PASS,COM30,1,烧录成功,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
2,集贤新烧录器,v1.2.4,20230512 15:47:33,mac:2373EAE83EA5,FAIL,COM30,2,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
3,集贤新烧录器,v1.2.4,20230512 15:47:33,mac:2373EAE83EA6,FAIL,COM30,3,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
4,集贤新烧录器,v1.2.4,20230512 15:47:33,mac:2373EAE83EA7,FAIL,COM30,4,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
5,集贤新烧录器,v1.2.4,20230512 15:47:33,mac:2373EAE83EA8,FAIL,COM30,5,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999998
6,集贤新烧录器,v1.2.4,20230512 15:47:48,mac:2373EAE83EA5,PASS,COM30,1,烧录成功,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999997
7,集贤新烧录器,v1.2.4,20230512 15:47:48,mac:2373EAE83EA6,FAIL,COM30,2,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999997
8,集贤新烧录器,v1.2.4,20230512 15:47:48,mac:2373EAE83EA7,FAIL,COM30,3,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999997
9,集贤新烧录器,v1.2.4,20230512 15:47:48,mac:2373EAE83EA8,FAIL,COM30,4,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999997
10,集贤新烧录器,v1.2.4,20230512 15:47:48,mac:2373EAE83EA9,FAIL,COM30,5,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999997
11,集贤新烧录器,v1.2.4,20230512 15:48:04,mac:2373EAE83EA6,PASS,COM30,1,烧录成功,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999996
12,集贤新烧录器,v1.2.4,20230512 15:48:04,mac:2373EAE83EA7,FAIL,COM30,2,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999996
13,集贤新烧录器,v1.2.4,20230512 15:48:04,mac:2373EAE83EA8,FAIL,COM30,3,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999996
14,集贤新烧录器,v1.2.4,20230512 15:48:04,mac:2373EAE83EA9,FAIL,COM30,4,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999996
15,集贤新烧录器,v1.2.4,20230512 15:48:04,mac:2373EAE83EAA,FAIL,COM30,5,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999996
16,集贤新烧录器,v1.2.4,20230512 15:48:21,mac:2373EAE83EA7,PASS,COM30,1,烧录成功,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999995
17,集贤新烧录器,v1.2.4,20230512 15:48:21,mac:2373EAE83EA8,FAIL,COM30,2,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999995
18,集贤新烧录器,v1.2.4,20230512 15:48:21,mac:2373EAE83EA9,FAIL,COM30,3,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999995
19,集贤新烧录器,v1.2.4,20230512 15:48:21,mac:2373EAE83EAA,FAIL,COM30,4,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999995
20,集贤新烧录器,v1.2.4,20230512 15:48:21,mac:2373EAE83EAB,FAIL,COM30,5,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999995
21,集贤新烧录器,v1.2.4,20230512 15:48:38,mac:2373EAE83EA8,PASS,COM30,1,烧录成功,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999994
22,集贤新烧录器,v1.2.4,20230512 15:48:38,mac:2373EAE83EA9,FAIL,COM30,2,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999994
23,集贤新烧录器,v1.2.4,20230512 15:48:38,mac:2373EAE83EAA,FAIL,COM30,3,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999994
24,集贤新烧录器,v1.2.4,20230512 15:48:38,mac:2373EAE83EAB,FAIL,COM30,4,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999994
25,集贤新烧录器,v1.2.4,20230512 15:48:38,mac:2373EAE83EAC,FAIL,COM30,5,没检测到芯片,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999994
26,集贤新烧录器,v1.2.4,20230512 15:48:54,mac:2373EAE83EA9,PASS,COM30,1,烧录成功,32543634390C1140,BK3432,uae050-ynt-a0-0.,,107280,2057892151,0,,0x27ff0,滚码烧录,,,,2373EAE83EA4,9999999,9999993
